NA	Gene Symbol	NA	dme-miR Family
NA	14-3-3epsilon	NA	dme-miR-927
NA	14-3-3zeta	NA	dme-miR-10-3p
NA	14-3-3zeta	NA	dme-miR-1006
NA	14-3-3zeta	NA	dme-miR-927
NA	14-3-3zeta	NA	dme-miR-1014
NA	14-3-3zeta	NA	dme-miR-277
NA	14-3-3zeta	NA	dme-miR-315
NA	18w	NA	dme-miR-316
NA	18w	NA	dme-miR-2a-1
NA	18w	NA	dme-miR-6
NA	18w	NA	dme-miR-11
NA	18w	NA	dme-miR-13
NA	18w	NA	dme-miR-308
NA	18w	NA	dme-miR-1000
NA	5-HT1A	NA	dme-miR-968
NA	5-HT1A	NA	dme-miR-315
NA	5-HT1B	NA	dme-miR-10-3p
NA	5-HT1B	NA	dme-miR-1006
NA	5-HT1B	NA	dme-miR-932
NA	5-HT1B	NA	dme-miR-7
NA	5-HT1B	NA	dme-miR-219
NA	5-HT1B	NA	dme-miR-965
NA	5-HT1B	NA	dme-miR-927
NA	5-HT1B	NA	dme-miR-87
NA	5-HT1B	NA	dme-miR-1014
NA	5-HT2	NA	dme-miR-190
NA	5-HT2	NA	dme-miR-219
NA	5-HT7	NA	dme-miR-219
NA	5-HT7	NA	dme-miR-137
NA	5-HT7	NA	dme-miR-5
NA	A16	NA	dme-miR-375
NA	A3-3	NA	dme-miR-2a-2
NA	A3-3	NA	dme-miR-2c
NA	A3-3	NA	dme-miR-283
NA	A3-3	NA	dme-miR-33
NA	A3-3	NA	dme-miR-1
NA	A3-3	NA	dme-let-7
NA	A3-3	NA	dme-miR-285
NA	A3-3	NA	dme-miR-995
NA	A3-3	NA	dme-miR-998
NA	A3-3	NA	dme-miR-971
NA	A3-3	NA	dme-miR-275
NA	A3-3	NA	dme-miR-306
NA	a6	NA	dme-miR-305
NA	a6	NA	dme-miR-79
NA	a6	NA	dme-miR-1017
NA	a6	NA	dme-miR-4
NA	Aats-asn	NA	dme-miR-277
NA	Aats-asp	NA	dme-miR-14
NA	Aats-cys	NA	dme-miR-283
NA	Aats-his	NA	dme-miR-277
NA	Aats-his	NA	dme-miR-iab-4-3p
NA	Aats-pro	NA	dme-miR-1000
NA	Aats-thr	NA	dme-miR-965
NA	Aats-trp	NA	dme-miR-1000
NA	Aats-trp	NA	dme-miR-305
NA	Aats-tyr	NA	dme-miR-275
NA	Aats-tyr	NA	dme-miR-306
NA	Aats-tyr	NA	dme-miR-277
NA	Aats-val	NA	dme-miR-283
NA	aay	NA	dme-miR-1000
NA	aay	NA	dme-miR-1014
NA	aay	NA	dme-miR-10-3p
NA	aay	NA	dme-miR-1006
NA	ab	NA	dme-miR-124
NA	ab	NA	dme-miR-960
NA	ab	NA	dme-miR-1000
NA	ab	NA	dme-let-7
NA	ab	NA	dme-miR-iab-4-3p
NA	ab	NA	dme-miR-977
NA	ab	NA	dme-miR-92
NA	ab	NA	dme-miR-310
NA	ab	NA	dme-miR-311
NA	ab	NA	dme-miR-312
NA	ab	NA	dme-miR-313
NA	ab	NA	dme-miR-277
NA	ab	NA	dme-miR-263a
NA	ab	NA	dme-miR-275
NA	ab	NA	dme-miR-306
NA	ab	NA	dme-miR-137
NA	abd-A	NA	dme-miR-283
NA	abd-A	NA	dme-miR-iab4as
NA	abd-A	NA	dme-miR-7
NA	abd-A	NA	dme-miR-3
NA	abd-A	NA	dme-miR-309
NA	abd-A	NA	dme-miR-318
NA	abd-A	NA	dme-miR-307
NA	abd-A	NA	dme-miR-263a
NA	Abd-B	NA	dme-miR-968
NA	Abd-B	NA	dme-miR-1014
NA	Abd-B	NA	dme-miR-283
NA	Abd-B	NA	dme-miR-10-3p
NA	Abd-B	NA	dme-miR-1006
NA	Abd-B	NA	dme-miR-1002
NA	Abd-B	NA	dme-miR-276
NA	Abi	NA	dme-miR-315
NA	Abi	NA	dme-miR-277
NA	Abi	NA	dme-miR-1000
NA	Abl	NA	dme-miR-279
NA	Abl	NA	dme-miR-286
NA	Abl	NA	dme-miR-996
NA	ac	NA	dme-let-7
NA	ac	NA	dme-miR-8
NA	Ac13E	NA	dme-miR-2a-1
NA	Ac13E	NA	dme-miR-6
NA	Ac13E	NA	dme-miR-11
NA	Ac13E	NA	dme-miR-13
NA	Ac13E	NA	dme-miR-308
NA	Ac13E	NA	dme-miR-957
NA	Ac13E	NA	dme-miR-4
NA	Ac13E	NA	dme-miR-277
NA	Ac3	NA	dme-miR-219
NA	Ac3	NA	dme-miR-999
NA	Ac3	NA	dme-miR-283
NA	Ac3	NA	dme-miR-981
NA	Ac3	NA	dme-miR-2a-1
NA	Ac3	NA	dme-miR-6
NA	Ac3	NA	dme-miR-11
NA	Ac3	NA	dme-miR-13
NA	Ac3	NA	dme-miR-308
NA	Ac76E	NA	dme-miR-277
NA	Ac78C	NA	dme-miR-968
NA	Ac78C	NA	dme-miR-977
NA	Ac78C	NA	dme-miR-1014
NA	Ac78C	NA	dme-miR-10-3p
NA	Ac78C	NA	dme-miR-1006
NA	Ac78C	NA	dme-miR-1002
NA	Ac78C	NA	dme-miR-279
NA	Ac78C	NA	dme-miR-286
NA	Ac78C	NA	dme-miR-996
NA	AcCoAS	NA	dme-miR-210
NA	AcCoAS	NA	dme-miR-307
NA	AcCoAS	NA	dme-miR-932
NA	AcCoAS	NA	dme-miR-2a-1
NA	AcCoAS	NA	dme-miR-6
NA	AcCoAS	NA	dme-miR-11
NA	AcCoAS	NA	dme-miR-13
NA	AcCoAS	NA	dme-miR-308
NA	Ace	NA	dme-miR-190
NA	Ace	NA	dme-miR-957
NA	Ace	NA	dme-miR-970
NA	Acer	NA	dme-miR-283
NA	acj6	NA	dme-miR-190
NA	acj6	NA	dme-miR-133
NA	acj6	NA	dme-miR-92
NA	acj6	NA	dme-miR-310
NA	acj6	NA	dme-miR-311
NA	acj6	NA	dme-miR-312
NA	acj6	NA	dme-miR-313
NA	acj6	NA	dme-miR-33
NA	Ack	NA	dme-miR-960
NA	Acon	NA	dme-miR-252
NA	Acon	NA	dme-miR-1002
NA	Acon	NA	dme-miR-137
NA	Acox57D-d	NA	dme-miR-315
NA	Acp1	NA	dme-miR-34
NA	Acph-1	NA	dme-miR-14
NA	Act5C	NA	dme-miR-1
NA	Act5C	NA	dme-miR-33
NA	Act88F	NA	dme-miR-7
NA	Act88F	NA	dme-miR-1017
NA	Actn	NA	dme-miR-314
NA	ACXE	NA	dme-miR-277
NA	Adam	NA	dme-miR-981
NA	Adam	NA	dme-miR-283
NA	Adar	NA	dme-miR-137
NA	Adar	NA	dme-miR-316
NA	Adf1	NA	dme-miR-92
NA	Adf1	NA	dme-miR-310
NA	Adf1	NA	dme-miR-311
NA	Adf1	NA	dme-miR-312
NA	Adf1	NA	dme-miR-313
NA	Adk1	NA	dme-miR-971
NA	Adk3	NA	dme-miR-317
NA	Adk3	NA	dme-miR-210
NA	AdoR	NA	dme-miR-277
NA	AdoR	NA	dme-miR-1014
NA	AdoR	NA	dme-miR-960
NA	adp	NA	dme-miR-987
NA	Ady43A	NA	dme-miR-9
NA	Aef1	NA	dme-miR-87
NA	Aef1	NA	dme-miR-305
NA	Aef1	NA	dme-miR-927
NA	Aef1	NA	dme-miR-277
NA	Aef1	NA	dme-miR-965
NA	ago	NA	dme-miR-4
NA	ago	NA	dme-miR-79
